State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,Weeknum
Texas,2019-02-09,"13,526",2019-02-02,"115,008","11,941,735",0.96,5
Texas,2019-02-16,"12,388",2019-02-09,"117,176","11,941,735",0.98,6
Texas,2019-02-23,"11,766",2019-02-16,"117,832","11,941,735",0.99,7
Texas,2019-03-02,"12,099",2019-02-23,"116,340","11,941,735",0.97,8
Texas,2019-03-09,"12,760",2019-03-02,"112,808","11,941,735",0.94,9
Texas,2019-03-16,"11,580",2019-03-09,"113,456","11,941,735",0.95,10
Texas,2019-03-23,"14,382",2019-03-16,"117,994","11,941,735",0.99,11
Texas,2019-03-30,"12,327",2019-03-23,"113,639","11,941,735",0.95,12
Texas,2019-04-06,"13,093",2019-03-30,"111,714","11,941,735",0.94,13
Texas,2019-04-13,"13,868",2019-04-06,"107,707","12,017,875",0.9,14
Texas,2019-04-20,"11,439",2019-04-13,"107,033","12,017,875",0.89,15
Texas,2019-04-27,"12,084",2019-04-20,"111,704","12,017,875",0.93,16
Texas,2019-05-04,"12,748",2019-04-27,"109,585","12,017,875",0.91,17
Texas,2019-05-11,"12,959",2019-05-04,"108,102","12,017,875",0.9,18
Texas,2019-05-18,"13,807",2019-05-11,"110,505","12,017,875",0.92,19
Texas,2019-05-25,"14,355",2019-05-18,"113,260","12,017,875",0.94,20
Texas,2019-06-01,"12,773",2019-05-25,"113,823","12,017,875",0.95,21
Texas,2019-06-08,"15,186",2019-06-01,"117,425","12,017,875",0.98,22
Texas,2019-06-15,"15,081",2019-06-08,"120,357","12,017,875",1.0,23
Texas,2019-06-22,"14,494",2019-06-15,"127,130","12,017,875",1.06,24
Texas,2019-06-29,"13,655",2019-06-22,"124,259","12,017,875",1.03,25
Texas,2019-07-06,"11,598",2019-06-29,"123,852","12,017,875",1.03,26
Texas,2019-07-13,"16,144",2019-07-06,"128,079","12,099,046",1.06,27
Texas,2019-07-20,"12,958",2019-07-13,"128,199","12,099,046",1.06,28
Texas,2019-07-27,"12,265",2019-07-20,"129,557","12,099,046",1.07,29
Texas,2019-08-03,"12,915",2019-07-27,"127,475","12,099,046",1.05,30
Texas,2019-08-10,"12,816",2019-08-03,"124,234","12,099,046",1.03,31
Texas,2019-08-17,"11,694",2019-08-10,"123,607","12,099,046",1.02,32
Texas,2019-08-24,"12,619",2019-08-17,"123,914","12,099,046",1.02,33
Texas,2019-08-31,"13,048",2019-08-24,"118,901","12,099,046",0.98,34
Texas,2019-09-07,"11,500",2019-08-31,"116,035","12,099,046",0.96,35
Texas,2019-09-14,"12,273",2019-09-07,"115,892","12,099,046",0.96,36
Texas,2019-09-21,"12,440",2019-09-14,"115,497","12,099,046",0.95,37
Texas,2019-09-28,"12,691",2019-09-21,"111,924","12,099,046",0.93,38
Texas,2019-10-05,"14,146",2019-09-28,"113,493","12,099,046",0.94,39
Texas,2019-10-12,"14,342",2019-10-05,"107,905","12,168,097",0.89,40
Texas,2019-10-19,"13,058",2019-10-12,"113,394","12,168,097",0.93,41
Texas,2019-10-26,"13,183",2019-10-19,"111,596","12,168,097",0.92,42
Texas,2019-11-02,"13,861",2019-10-26,"114,549","12,168,097",0.94,43
Texas,2019-11-09,"16,393",2019-11-02,"111,391","12,168,097",0.92,44
Texas,2019-11-16,"14,335",2019-11-09,"112,751","12,168,097",0.93,45
Texas,2019-11-23,"16,139",2019-11-16,"120,254","12,168,097",0.99,46
Texas,2019-11-30,"10,359",2019-11-23,"115,092","12,168,097",0.95,47
Texas,2019-12-07,"20,649",2019-11-30,"135,760","12,168,097",1.12,48
Texas,2019-12-14,"15,037",2019-12-07,"122,185","12,168,097",1.0,49
Texas,2019-12-21,"12,589",2019-12-14,"133,899","12,168,097",1.1,50
Texas,2019-12-28,"8,947",2019-12-21,"119,380","12,168,097",0.98,51
Texas,2020-01-04,"12,367",2019-12-28,"141,473","12,168,097",1.16,52
Texas,2020-01-11,"21,902",2020-01-04,"140,768","12,236,594",1.15,1
Texas,2020-01-18,"15,783",2020-01-11,"145,126","12,236,594",1.19,2
Texas,2020-01-25,"13,070",2020-01-18,"132,656","12,236,594",1.08,3
Texas,2020-02-01,"13,818",2020-01-25,"140,826","12,236,594",1.15,4
Texas,2020-02-08,"13,869",2020-02-01,"128,666","12,236,594",1.05,5
Texas,2020-02-15,"12,790",2020-02-08,"133,475","12,236,594",1.09,6
Texas,2020-02-22,"12,047",2020-02-15,"127,275","12,236,594",1.04,7
Texas,2020-02-29,"12,692",2020-02-22,"133,247","12,236,594",1.09,8
Texas,2020-03-07,"14,355",2020-02-29,"125,252","12,236,594",1.02,9
Texas,2020-03-14,"16,176",2020-03-07,"127,905","12,236,594",1.05,10
Texas,2020-03-21,"155,426",2020-03-14,"126,427","12,236,594",1.03,11
Texas,2020-03-28,"276,185",2020-03-21,"144,697","12,236,594",1.18,12
Texas,2020-04-04,"315,167",2020-03-28,"374,656","12,236,594",3.06,13
Texas,2020-04-11,"274,257",2020-04-04,"632,470","12,304,547",5.14,14
Texas,2020-04-18,"280,761",2020-04-11,"911,923","12,304,547",7.41,15
Texas,2020-04-25,"254,084",2020-04-18,"962,122","12,304,547",7.82,16
Texas,2020-05-02,"243,935",2020-04-25,"1,133,324","12,304,547",9.21,17
Texas,2020-05-09,"141,553",2020-05-02,"1,181,609","12,304,547",9.6,18
Texas,2020-05-16,"134,065",2020-05-09,"1,300,576","12,304,547",10.57,19
Texas,2020-05-23,"127,717",2020-05-16,"1,272,557","12,304,547",10.34,20
Texas,2020-05-30,"106,677",2020-05-23,"1,401,773","12,304,547",11.39,21
Texas,2020-06-06,"89,676",2020-05-30,"1,215,507","12,304,547",9.88,22
Texas,2020-06-13,"94,723",2020-06-06,"1,297,296","12,304,547",10.54,23
Texas,2020-06-20,"89,547",2020-06-13,"1,221,813","12,304,547",9.93,24
Texas,2020-06-27,"96,593",2020-06-20,"1,301,714","12,304,547",10.58,25
Texas,2020-07-04,"117,099",2020-06-27,"1,237,931","12,304,547",10.06,26
Texas,2020-07-11,"105,516",2020-07-04,"1,313,086","12,372,188",10.61,27
Texas,2020-07-18,"87,908",2020-07-11,"1,247,269","12,372,188",10.08,28
Texas,2020-07-25,"76,804",2020-07-18,"1,338,900","12,372,188",10.82,29
Texas,2020-08-01,"62,709",2020-07-25,"1,228,250","12,372,188",9.93,30
Texas,2020-08-08,"52,304",2020-08-01,"1,221,540","12,372,188",9.87,31
