state,date,state_new_cases_per_100000,state_new_deaths_per_100000
Illinois,8/16/2020,13.49067067,0.123335586
Arizona,8/16/2020,13.17489936,0.709141846
Indiana,8/16/2020,12.99443039,0.196400131
Delaware,8/16/2020,12.93906219,0.029541238
Wisconsin,8/16/2020,12.74604511,0.100749537
Kentucky,8/16/2020,12.62196195,0.11829093
North Carolina,8/16/2020,11.84007669,0.213247953
Utah,8/16/2020,11.4110188,0.122018815
Maryland,8/16/2020,11.13264405,0.127662514
Virginia,8/16/2020,11.07108328,0.092245051
South Dakota,8/16/2020,10.83287657,0.113348484
Minnesota,8/16/2020,10.83042059,0.261382976
Montana,8/16/2020,10.73138129,0.094134924
Alaska,8/16/2020,10.61590456,0.038744177
District of Columbia,8/16/2020,9.497303844,0.122021034
Ohio,8/16/2020,9.091231949,0.191870334
Washington,8/16/2020,8.320515272,0.176306202
Rhode Island,8/16/2020,8.066254076,0.094579194
Michigan,8/16/2020,7.907515935,0.104328332
New Mexico,8/16/2020,7.451597342,0.197709353
Wyoming,8/16/2020,7.038958326,0.04945404
West Virginia,8/16/2020,6.898284479,0.166128411
Oregon,8/16/2020,6.783707553,0.109084745
Pennsylvania,8/16/2020,6.422796712,0.158394778
Colorado,8/16/2020,6.308167449,0.095312272
Massachusetts,8/16/2020,5.284068566,0.213184122
New Jersey,8/16/2020,4.300858696,0.080447332
New York,8/16/2020,3.397773507,0.048247214
Connecticut,8/16/2020,2.307201247,0.047983388
New Hampshire,8/16/2020,1.611339449,0.042126522
Maine,8/16/2020,1.323538014,0.021347387
Vermont,8/16/2020,1.277345166,0
Northern Mariana Islands,8/16/2020,,
Virgin Islands,8/16/2020,,
Guam,8/16/2020,,
American Samoa,8/16/2020,,
Georgia,8/15/2020,29.52483031,0.65592627
Florida,8/15/2020,28.88086158,0.829000114
Louisiana,8/15/2020,24.49735661,0.683632902
Mississippi,8/15/2020,24.43829939,0.985376722
Nevada,8/15/2020,24.42946443,0.564951962
Texas,8/15/2020,24.34885781,0.707271606
Idaho,8/15/2020,24.25188868,0.27688523
Tennessee,8/15/2020,23.55345751,0.274319071
California,8/15/2020,22.97080439,0.329000453
Alabama,8/15/2020,21.64833845,0.412098788
Missouri,8/15/2020,20.94663786,0.118922245
Arkansas,8/15/2020,19.80318477,0.308103964
Puerto Rico,8/15/2020,19.09588859,0.245908188
South Carolina,8/15/2020,18.0449578,0.710896033
